1,3253
2,2681
3,2413
4,2240
5,2128
6,2053
7,1996
8,1944
9,1872
10,1818
11,1761
12,1703
13,1669
14,1632
15,1580
16,1518
17,1441
18,1349
19,1210
20,1027
21,776
22,449
23,142
24,6
25,0
