0,1
0.01,0.9853
0.02,0.9507
0.03,0.9117
0.04,0.8583
0.05,0.8107
0.06,0.7437
0.07,0.6849
0.08,0.6269
0.09,0.5801
0.1,0.5251
0.11,0.4792
0.12,0.4242
0.13,0.3762
0.14,0.3314
0.15,0.3032
0.16,0.266
0.17,0.2371
0.18,0.2119
0.19,0.1747
0.2,0.1595
0.21,0.1436
0.22,0.1241
0.23,0.1087
0.24,0.0942
0.25,0.0815
0.26,0.0683
0.27,0.0596
0.28,0.0467
0.29,0.0451
0.3,0.0393
0.31,0.0314
0.32,0.0296
0.33,0.0246
0.34,0.0203
0.35,0.0162
0.36,0.0142
0.37,0.0127
0.38,0.0108
0.39,0.0086
0.4,0.0082
0.41,0.0071
0.42,0.0046
0.43,0.0039
0.44,0.0026
0.45,0.0031
0.46,0.0013
0.47,0.0017
0.48,0.0016
0.49,0.0015
0.5,0.0017
0.51,0.0015
0.52,0.0009
0.53,0.0006
0.54,0.0007
0.55,0.0007
0.56,0.0009
0.57,0.0005
0.58,0.0002
0.59,0.0003
0.6,0.0005
0.61,0.0006
0.62,0.0004
0.63,0.0004
0.64,0.0002
0.65,0.0002
0.66,0.0004
0.67,0.0004
0.68,0.0004
0.69,0.0005
0.7,0.0003
0.71,0.0002
0.72,0.0001
0.73,0.0002
0.74,0.0001
0.75,0.0001
0.76,0.0002
0.77,0.0001
0.78,0.0001
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.839999,0.0001
0.849999,0
0.859999,0
0.869999,0
0.879999,0
0.889999,0
0.899999,0
0.909999,0
0.919999,0
0.929999,0
0.939999,0
0.949999,0
0.959999,0
0.969999,0
0.979999,0
0.989999,0
0.999999,0
