0,1
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,0.9998
0.08,0.9995
0.09,0.9992
0.1,0.9991
0.11,0.9988
0.12,0.9988
0.13,0.9979
0.14,0.9972
0.15,0.9965
0.16,0.9941
0.17,0.993
0.18,0.9916
0.19,0.9882
0.2,0.9865
0.21,0.9824
0.22,0.9799
0.23,0.9766
0.24,0.9713
0.25,0.9684
0.26,0.9612
0.27,0.9573
0.28,0.9523
0.29,0.9419
0.3,0.9354
0.31,0.9259
0.32,0.9192
0.33,0.906
0.34,0.8969
0.35,0.8935
0.36,0.8836
0.37,0.8621
0.38,0.8573
0.39,0.838
0.4,0.8194
0.41,0.8116
0.42,0.7921
0.43,0.7769
0.44,0.7603
0.45,0.7369
0.46,0.7279
0.47,0.7036
0.48,0.6756
0.49,0.6672
0.5,0.6447
0.51,0.6171
0.52,0.5963
0.53,0.5638
0.54,0.5537
0.55,0.5387
0.56,0.51
0.57,0.4751
0.58,0.462
0.59,0.4414
0.6,0.4187
0.61,0.3978
0.62,0.3678
0.63,0.35
0.64,0.3198
0.65,0.3043
0.66,0.2834
0.67,0.2585
0.68,0.2387
0.69,0.2206
0.7,0.1989
0.71,0.1865
0.72,0.1651
0.73,0.1471
0.74,0.1452
0.75,0.1256
0.76,0.1044
0.77,0.0944
0.78,0.0793
0.79,0.076
0.8,0.0595
0.81,0.0539
0.82,0.0459
0.83,0.0359
0.839999,0.0283
0.849999,0.0224
0.859999,0.0208
0.869999,0.0143
0.879999,0.0098
0.889999,0.006
0.899999,0.0068
0.909999,0.0035
0.919999,0.0035
0.929999,0.0014
0.939999,0.0012
0.949999,0.0004
0.959999,0.0007
0.969999,0.0003
0.979999,0
0.989999,0
0.999999,0
